[000:03:15;795] COMMUNICATE WITH OUR
[000:03:17;463] FAMILIES.
[000:03:18;031] BACK HOME, THEY CAN'T
[000:03:18;998] HEAR FROM US, THEY
[000:03:19;732] DON'T KNOW WHAT'S
[000:03:20;433] GOING ON.
[000:03:22;635] WE OFFERED HIM OUR
[000:03:23;369] SATELLITE PHONE.
[000:03:24;737] YOUR MOM AND I ARE
[000:03:25;772] OKAY.
[000:03:27;840] THE FOLKS IN THE AREA
[000:03:28;608] ARE OKAY.
[000:03:30;443] WE ARE WAITING TO HEAR
[000:03:31;211] FROM OTHERS.
[000:03:33;046] >> Reporter: CLOSER TO
[000:03:33;813] SAN JUAN, PEOPLE
[000:03:34;514] CLUSTER HOPING,
[000:03:35;648] PRAYING FOR ONE MEASLY
[000:03:38;251] BAR OF CELL SERVICE.
[000:03:39;285] NEVER HAS THIS ISLAND
[000:03:40;320] FELT SO DISCONNECTED.
[000:03:41;888] NEVER HAS IT FELT SO
[000:03:42;655] ALONE.
[000:03:44;991] GABE GUTIERREZ, NBC
[000:03:47;594] NEWS, ISABELLA, PUERTO
[000:03:48;361] RICO.
[000:03:52;298] >>> I'M HANS NICHOLS
[000:03:55;401] ON BOARD A MILITARY
[000:03:56;436] PLANE FLYING RELIEF TO
[000:03:57;203] THE VIRGIN ISLANDS.
[000:03:58;004] THE CREW HAS BEEN ON
[000:03:58;771] HIGH ALERT.
[000:03:59;572] >> WE HAVE A TIGHT
[000:04:00;607] STRING.
[000:04:02;675] WHEN WE GET THE CALL,
[000:04:03;443] WE HAVE THREE HOURS TO
[000:04:05;812] GET OFF.
[000:04:08;414] >> Reporter: ST.
[000:04:11;517] THOMAS WAS DEVASTATED
[000:04:13;086] BY HURRICANE IRMA, AND
[000:04:14;654] HIT AGAIN BY MARIA.
[000:04:17;257] IN THE COCKPIT, THE
[000:04:17;991] FOCUS IS ON THE
[000:04:18;658] MISSION.
[000:04:19;192] >> GET IN, OFFLOAD.
[000:04:19;926] >> ON THE GROUND,
[000:04:22;962] MASTERS ARE AT WORK.
[000:04:23;696] SPEED A PREMIUM.
[000:04:25;031] >> WE'RE DOING
[000:04:29;202] EVERYTHING WE CAN, AS
[000:04:30;770] FAST AS WE CAN, AS
[000:04:31;504] FAST AS WE'RE ALLOWED.
[000:04:32;272] >> WE'VE LANDED HERE
[000:04:33;039] IN SAINT THOMAS WHERE
[000:04:33;806] THE AIRFIELD IS MOSTLY
[000:04:34;574] CLEAR OF DEBRIS,
[000:04:37;510] THEY'RE BRINGING IN AN
[000:04:39;612] AIR TRAFFIC CONTROL
[000:04:42;215] MOBIL COMMAND TOWER.
[000:04:44;284] THE IDEA IS TO USE
[000:04:46;352] THIS AIRFIELD AS A
[000:04:47;086] STAGING GROUND FOR THE
[000:04:47;920] BROADER RELIEF EFFORT.
