[000:03:32;412] THERE ARE STILL TEARS.
[000:03:34;013] NEW IMAGES OF THOSE FIRST
[000:03:35;081] REUNIONS.
[000:03:36;749] THIS MOTHER REUNITED WITH HER
[000:03:38;284] SON WHO'S BEEN SOBBING IN THE
[000:03:39;886] ARMS OF HIS TEACHER, WAITING FOR
[000:03:40;653] HER.
[000:03:43;556] A THANK YOU FROM MOM, AND A
[000:03:45;225] PROUD TEACHER ANSWERS.
[000:03:46;793] >> HE WAS SO GOOD.
[000:03:49;462] >> Reporter: ONE OF THE HAPPY
[000:03:50;496] ENDINGS HERE.
[000:03:54;867] AFTER SO MUCH CHAOS AND FEAR.
[000:03:58;338] THIS MAN LIFTING UP A TEARFUL
[000:03:59;806] BOY TO CONSOLE HIM.
[000:04:01;374] AND THERE WAS THIS FATHER AS
[000:04:02;075] PANICKED AS ANY PARENT WOULD BE.
[000:04:04;310] >> SHE'S OUT?
[000:04:09;282] >> Reporter: HE WOULD SOON FIND
[000:04:11;317] HER.
[000:04:11;751] AND THIS LITTLE GIRL, WHO SAID
[000:04:13;086] SHE JUST WOULDN'T LET GO OF THAT
[000:04:16;456] DESK.
[000:04:16;889] >> THE TORNADO WENT IN AND I WAS
[000:04:18;691] SO AFRAID THAT I WAS HANGING ON
[000:04:20;159] TO ONE OF THE DESKS.
[000:04:21;527] AND THEN, UM, I FELL BACK, AND
[000:04:24;530] ALL THE DIRT THAT GOT IN MY EYES
[000:04:25;632] AND I FELL.
[000:04:27;233] >> Reporter: THE COUNTLESS
[000:04:29;369] HEROES, THE TEACHERS DETERMINED
[000:04:30;403] TO MAKE SURE THEIR STUDENTS
[000:04:31;471] WOULD MAKE IT HOME TO THEIR
[000:04:32;171] PARENTS.
[000:04:33;606] >> ALL FIFTH GRADERS RIGHT HERE!
[000:04:37;277] >> Reporter: TONIGHT A CLEARER
[000:04:38;411] PICTURE OF THE MOMENTS BEFORE
[000:04:39;979] THE TORNADO TOOK AIM AT TWO
[000:04:40;680] DIFFERENT SCHOOLS.
