[000:03:04;317] AIR MUFFLED ONLY BY
[000:03:05;118] SCREAMS.
[000:03:08;755] >> THEY KNEW WHAT THEY
[000:03:10;323] WERE DOING, BUT IT'S
[000:03:11;891] ALSO NOT JUST A FLY BY
[000:03:12;926] THE SEAT OF YOUR PANTS
[000:03:13;960] TYPE OF RISK.
[000:03:14;594] IT'S A CALCULATED
[000:03:16;062] RISK.
[000:03:16;563] >> Reporter: WITH
[000:03:17;597] OFFICERS SWEEPING ON
[000:03:18;364] TO THE KILLING FIELD,
[000:03:20;200] THIS CAMERA BURIED
[000:03:21;234] UNDER A VEST, SHOWS
[000:03:22;802] ONE OFFICER USING HIS
[000:03:23;836] BODY TO SHIELD A
[000:03:24;537] VICTIM LYING ON THE
[000:03:25;271] GROUND.
[000:03:27;507] ALONGSIDE POLICE,
[000:03:29;576] PARAMEDICS KNOWING
[000:03:30;610] THEY, TOO, COULD BE
[000:03:31;644] KILLED.
[000:03:32;679] >> IT'S VERY INTENSE.
[000:03:34;247] >> Reporter: JEFF
[000:03:35;281] BUCHANAN'S TEAM
[000:03:36;316] SCRAMBLED TO PUT ON
[000:03:37;884] KEVLAR.
[000:03:38;418] >> THEY'RE FOCUSED ON
[000:03:39;452] THE PATIENTS AND
[000:03:40;486] THEY'RE ALSO FOCUSED
[000:03:41;521] ON MAKING SURE THAT
[000:03:42;555] THEY SAVE AS MANY
[000:03:43;590] PEOPLE AS POSSIBLE.
[000:03:45;692] >> Reporter: TONIGHT,
[000:03:46;459] NEW VIDEO CAPTURED BY
[000:03:47;227] A CAB DRIVER.
[000:03:48;795] IN THE CHAOS, POLICE
[000:03:49;829] WOULD EVENTUALLY SPOT
[000:03:51;397] THE SHOOTER.
[000:03:52;432] >> MUZZLE BLASTS FROM
[000:03:54;000] THE MANDALAY BAY.
[000:03:55;034] >> NORTH OF THE
[000:03:56;603] MANDALAY BAY, IT'S
[000:03:57;337] COMING OUT OF A
[000:03:58;004] WINDOW.
[000:03:58;538] >> Reporter: FEAR AND
[000:03:59;305] PANIC WERE EVERYWHERE.
[000:04:00;240] VICTIMS PILING INTO
[000:04:00;974] THIS TAXI.
[000:04:02;308] >> JUST GO!
[000:04:04;410] JUST GO.
[000:04:05;445] >> OKAY.
[000:04:05;979] I'M GOING.
[000:04:06;980] I'M GOING.
[000:04:08;047] I'M GOING.
[000:04:08;615] >> EVERYBODY'S DYING.
[000:04:10;116] COME ON.
[000:04:11;150] >> Reporter: AMONG
[000:04:12;185] THOSE PULLED TO
[000:04:13;219] SAFETY, 24-YEAR-OLD
[000:04:14;287] KRISTIN BABIK.
[000:04:15;321] >> OUT OF EVERYONE WHO
[000:04:16;356] WAS RUNNING AWAY AND
[000:04:17;123] SCREAMING, THERE WERE
[000:04:17;924] A LOT OF PEOPLE GOING
[000:04:21;561] TOWARD IT TO HELP.
[000:04:24;163] >> Reporter: TONIGHT,
[000:04:24;931] BABIK IS RECOVERING.
[000:04:25;732] SHE'S STILL WEARING
[000:04:27;300] HER CONCERT WRISTBAND.
[000:04:29;369] >> I'M FORTUNATE I
[000:04:31;971] DIDN'T PASS AWAY, BUT
[000:04:33;539] I'M ALSO UNFORTUNATE
[000:04:35;074] THAT I AM NOW STUCK
[000:04:37;176] WITH THIS BULLET WOUND
[000:04:38;211] IN MY BACK FOR THE
[000:04:39;245] REST OF MY LIFE.
[000:04:40;813] >> GO, GO, GO, GO.
[000:04:41;514] >> Reporter: AN URBAN
[000:04:42;282] BATTLEFIELD NO ONE
[000:04:43;016] WILL EVER FORGET.
[000:04:44;951] DURING THE GUNFIRE
[000:04:45;685] FROM THIS HOTEL ROOM,
[000:04:47;053] POLICE SAY MANY OF
[000:04:48;588] THEIR OFFICERS WERE
[000:04:49;656] WEARING BODY CAMERAS,
[000:04:50;423] ADDING MUCH OF THE
[000:04:51;190] VIDEO IS STILL BEING
[000:04:51;958] REVIEWED.
[000:04:53;293] SOME IS TOO GRAPHIC TO
[000:04:54;060] SHOW.
[000:04:55;361] IT IS A REAL LIFE
[000:04:56;396] ACCOUNT OF THE TERROR
[000:04:57;430] THAT RAINED DOWN ON SO
[000:04:58;197] MANY.
[000:04:58;698] LESTER?
[000:05:00;566] >> SO TERRIFYING JUST
[000:05:01;334] TO WATCH IT, I CAN'T
[000:05:02;635] IMAGINE LIVING THROUGH
[000:05:03;403] IT.
[000:05:03;870] MIGUEL ALMAGUER, THANK
[000:05:05;238] YOU.
[000:05:07;840] >>> TONIGHT, THE WOMAN
[000:05:08;608] WHO LIVED WITH THE LAS
[000:05:09;409] VEGAS ATTACKER IS BACK
[000:05:10;443] IN THE U.S., ARRIVING
[000:05:11;477] IN LOS ANGELES, WHERE
[000:05:12;512] SHE SPENT MOST OF THE
[000:05:14;080] DAY ANSWERING
[000:05:15;648] QUESTIONS FROM THE FBI
[000:05:16;683] AND LAS VEGAS
[000:05:17;717] AUTHORITIES.
[000:05:18;785] INVESTIGATORS ARE
[000:05:19;786] HOPING SHE CAN PROVIDE
[000:05:20;820] SOME ANSWERS THAT HAVE
[000:05:21;587] SO FAR BEEN ELUSIVE.
[000:05:22;388] WE GET ALL THE LATEST
[000:05:23;423] NOW FROM OUR JUSTICE
[000:05:24;490] CORRESPONDENT PETE
[000:05:25;224] WILLIAMS.
[000:05:26;025] >> Reporter: UNDER
[000:05:26;759] POLICE ESCORT, MARILOU
[000:05:27;593] DANLEY ARRIVED LATE
[000:05:28;628] LAST NIGHT IN LOS
[000:05:29;662] ANGELES FROM A FAMILY
[000:05:30;730] VISIT IN THE
[000:05:31;764] PHILIPPINES AND WAS
[000:05:32;799] QUESTIONED FOR HOURS
[000:05:33;833] TODAY AT THE FBI'S
[000:05:34;867] L.A. OFFICE.
[000:05:35;902] INVESTIGATORS WANT TO
[000:05:36;936] KNOW IF SHE HAD ANY
[000:05:38;004] HINT THAT STEPHEN
[000:05:39;539] PADDOCK WAS PLANNING A
[000:05:41;107] VIOLENT ATTACK OR IF
[000:05:41;874] SHE KNEW OF ANY REASON
[000:05:42;675] WHY HE WOULD COMMIT
[000:05:43;710] SUCH A HORRIBLE CRIME.
[000:05:45;278] SO FAR THEY SAY NO
[000:05:46;012] OBVIOUS ANSWERS.
[000:05:47;880] LATE TODAY HER LAWYER
[000:05:48;915] READ A STATEMENT FROM
[000:05:49;949] HER.
[000:05:51;017] >> HE NEVER SAID
[000:05:53;052] ANYTHING TO ME OR TOOK
[000:05:55;154] ANY ACTION THAT I WAS
[000:05:57;757] AWARE OF THAT I
[000:05:58;791] UNDERSTOOD IN ANY WAY
[000:06:00;360] TO BE A WARNING THAT
[000:06:01;928] SOMETHING HORRIBLE
[000:06:02;962] LIKE THIS WAS GOING TO
[000:06:03;730] HAPPEN.
[000:06:05;031] >> Reporter: IN
[000:06:06;065] AUSTRALIA, WHERE SHE'S
[000:06:07;633] FROM, HER SISTER SAID
[000:06:08;668] IN AN INTERVIEW THAT
[000:06:09;702] STEPHEN PADDOCK GAVE
[000:06:10;770] HER THE AIRLINE TICKET
[000:06:11;804] TO GET HER OUT OF THE
[000:06:13;373] COUNTRY SO THAT HE
[000:06:14;407] COULD FREELY CARRY OUT
[000:06:16;476] HIS SHOOTING RAMPAGE.
[000:06:17;243] >> SHE WAS SENT AWAY.
[000:06:19;078] SHE WAS SENT AWAY SO
[000:06:24;283] THAT SHE WILL BE NOT
[000:06:26;919] THERE TO INTERFERE
[000:06:27;920] WITH WHAT HE IS
[000:06:28;588] PLANNING.
[000:06:29;989] SO IN MY -- IN MY
[000:06:32;091] HEART AND IN MY
[000:06:33;626] UNDERSTANDING, HE DONE
[000:06:34;394] THIS SOLELY HIMSELF.
[000:06:36;229] >> Reporter: IN HER
[000:06:40;900] STATEMENT, DANLEY SAID
[000:06:41;968] SHE FEARED THE PLANE
[000:06:43;002] TICKET AND THE MONEY
[000:06:44;036] HE WIRED TO HER MEANT
[000:06:45;071] HE WANTED TO BREAK UP
[000:06:46;105] WITH HER.
[000:06:47;140] FEDERAL OFFICIALS SAY
[000:06:47;907] 12 OF THE 23 RIFLES
[000:06:48;708] FOUND IN PADDOCK'S
[000:06:49;742] HOTEL ROOM WERE
[000:06:50;777] EQUIPPED WITH BUMP
[000:06:51;844] STOCKS TO MAKE THEM
[000:06:52;912] FIRE LIKE MACHINE GUNS
[000:06:53;913] AND CLIPS TO HOLD 60
[000:06:54;947] TO 100 ROUNDS OF
[000:06:55;648] AMMUNITION.
[000:06:56;516] AS INVESTIGATORS BUILD
[000:06:57;550] A TIMELINE OF WHAT LED
[000:06:58;584] UP TO THE ATTACK,
[000:06:59;619] THEY'RE TRYING TO
[000:07:01;187] TRACK DOWN A WOMAN WHO
[000:07:02;221] WAS SEEN WITH PADDOCK
[000:07:03;790] IN THE DAYS BEFORE THE
[000:07:04;824] SHOOTING.
[000:07:05;858] THEY DON'T KNOW WHAT
[000:07:06;893] CONNECTION, IF ANY,
[000:07:07;960] SHE HAD TO THE ATTACK,
[000:07:08;995] BUT THEYANT TO KNOW
[000:07:10;062] WHO SHE WAS SO THEY
[000:07:11;063] CAN TALK TO HER.
[000:07:12;098] THEY'RE ALSO SCOURING
[000:07:13;166] PADDOCK'S HEALTH
[000:07:14;700] RECORDS.
[000:07:15;234] HE TOOK VALIUM, BUT
[000:07:16;269] FEDERAL OFFICIALS SAY
[000:07:17;303] TONIGHT THEY FOUND NO
[000:07:18;337] SERIOUS MENTAL HEALTH
[000:07:19;105] PROBLEMS.
[000:07:19;906] SO FAR THE FBI SAYS NO
[000:07:20;673] IDEA OF WHAT DROVE HIM
[000:07:21;974] TO COMMIT MASS MURDER.
[000:07:22;742] >> WE LOOK FOR ACTUAL
[000:07:23;576] INDICATORS OF
[000:07:24;577] AFFILIATION, OF
[000:07:25;611] MOTIVE, OF INTENT, AND
[000:07:26;412] SO FAR WE'RE NOT
[000:07:27;180] THERE.
[000:07:27;713] WE DON'T HAVE THOSE
[000:07:29;282] SORT OF INDICATORS.
[000:07:30;316] >> Reporter: A SENIOR
[000:07:31;083] LAW ENFORCEMENT
[000:07:31;851] OFFICIAL SAYS TONIGHT
[000:07:32;919] THAT MARILOU DANLEY'S
[000:07:34;487] BEEN COOPERATIVE AND
[000:07:37;089] THAT THERE'S NO SIGN
[000:07:37;857] SHE HAD ANYTHING TO DO
[000:07:38;624] WITH STEPHEN PADDOCK'S
[000:07:39;392] MASS SHOOTING.
[000:07:40;026] LESTER?
[000:07:40;726] >> ALL RIGHT, PETE
[000:07:41;461] WILLIAMS TONIGHT,
[000:07:42;261] THANK YOU.
[000:07:44;363] >>> AND AS THE
[000:07:45;398] INVESTIGATION MOVES
[000:07:46;132] FORWARD, WE ARE
[000:07:46;966] HEARING MORE DRAMATIC
[000:07:48;000] ACCOUNTS OF A STRUGGLE
[000:07:49;035] TO GET OUT ALIVE ONCE
[000:07:49;802] THE CHAOS AND
[000:07:50;603] CONFUSION BEGAN.
[000:07:51;270] STRANGERS HELPING
[000:07:52;171] STRANGERS UNDER THAT
[000:07:52;939] HAIL OF GUNFIRE.
[000:07:54;240] AT ONE HOSPITAL, WE
[000:07:55;274] WERE THERE FOR AN
[000:07:56;309] EMOTIONAL REUNION
[000:07:57;343] BETWEEN A SURVIVOR AND
[000:07:58;911] A GOOD SAMARITAN WHO
[000:07:59;946] SAVED HER LIFE.
[000:08:01;514] HERE'S NBC'S CATIE
[000:08:02;248] BECK.
[000:08:04;116] >> Reporter: AS
[000:08:05;151] BULLETS STARTED
[000:08:06;185] RAINING DOWN SUNDAY,
[000:08:08;287] THOUSANDS BEGAN THEIR
[000:08:09;055] DESPERATE ATTEMPTS TO
[000:08:09;822] ESCAPE.
[000:08:10;857] BUT KAREN SMERBER
[000:08:11;924] COULDN'T.
[000:08:12;492] SHOT IN THE STOMACH,
[000:08:13;259] SHE WAS DOUBLED OVER
[000:08:14;026] IN PAIN.
[000:08:15;027] INSTEAD OF RUNNING,
[000:08:15;761] SHE CALLED HER
[000:08:17;096] HUSBAND.
