Green,Yellow,Minutes of Coverage,x
6.0,3.2,9.3,2013-05-22
2.3,4.5,6.8,2013-05-23
6.1,2.1,8.3,2013-05-19
3.5,4.0,7.5,2013-05-24
16.6,11.8,28.4,2013-05-21
20.7,7.6,28.4,2013-05-20
