Green,Yellow,Minutes of Coverage,x
7.9,4.0,11.9,2013-04-18
17.6,8.9,26.5,2013-04-19
14.4,7.4,21.8,2013-04-20
8.4,6.9,15.3,2013-04-17
15.5,9.6,25.1,2013-04-16
15.3,11.2,26.5,2013-04-15
