Green,Yellow,Minutes of Coverage,x
1.7,2.9,4.6,2017-04-09
3.1,5.2,8.3,2017-04-05
4.0,1.4,5.4,2017-04-04
3.3,3.5,6.8,2017-04-07
4.7,5.0,9.6,2017-04-06
