Green,Yellow,Minutes of Coverage,x
3.4,0.8,4.2,2017-09-24
4.0,2.4,6.4,2017-09-21
3.3,2.7,6.1,2017-09-22
0.9,2.4,3.3,2017-09-25
5.1,0.8,5.9,2017-09-20
