Green,Yellow,Minutes of Coverage,x
11.1,6.9,18.0,2017-10-04
9.4,2.5,11.9,2017-10-05
5.7,2.9,8.6,2017-10-06
10.3,4.7,15.0,2017-10-03
19.8,8.8,28.6,2017-10-02
