Green,Yellow,Minutes of Coverage,x
5.8,2.3,8.0,2017-04-07
1.2,2.4,3.6,2017-04-05
3.4,4.3,7.7,2017-04-06
3.1,0.6,3.7,2017-04-09
3.8,5.1,8.9,2017-04-08
2.1,1.7,3.8,2017-04-04
