Green,Yellow,Minutes of Coverage,x
30.3,15.6,45.9,2013-05-21
4.5,1.0,5.5,2013-05-23
39.2,19.9,59.1,2013-05-20
22.7,10.5,33.1,2013-05-22
4.1,2.4,6.6,2013-05-24
38.8,20.3,59.2,2013-05-19
