Green,Yellow,Minutes of Coverage,x
4.1,0.9,5.0,2017-09-23
5.3,3.2,8.4,2017-09-21
2.0,0.5,2.5,2017-09-22
17.0,10.1,27.1,2017-09-20
3.2,1.5,4.7,2017-09-24
5.1,4.6,9.7,2017-09-25
