Green,Yellow,Minutes of Coverage,x
6.7,4.2,10.9,2017-10-05
21.4,7.3,28.6,2017-10-02
2.6,0.8,3.3,2017-10-06
12.8,8.8,21.7,2017-10-04
15.7,6.6,22.3,2017-10-03
