Green,Yellow,Minutes of Coverage,x
10.2,9.3,19.5,2013-06-12
25.1,16.2,41.3,2013-06-09
5.2,2.8,8.0,2013-06-14
4.3,6.2,10.4,2013-06-11
7.4,5.1,12.5,2013-06-13
12.4,5.3,17.8,2013-06-10
