Green,Yellow,Minutes of Coverage,x
2.6,2.6,5.2,2013-08-26
2.0,3.5,5.5,2013-08-27
2.5,1.0,3.5,2013-08-25
3.4,1.2,4.7,2013-08-23
2.3,1.9,4.2,2013-08-22
