Green,Yellow,Minutes of Coverage,x
5.1,4.7,9.8,2017-05-16
3.4,1.4,4.8,2017-05-14
0.4,0.4,0.8,2017-05-12
4.2,1.4,5.6,2017-05-15
3.0,1.5,4.5,2017-05-13
