Green,Yellow,Minutes of Coverage,x
6.8,13.5,20.4,2013-08-25
3.2,7.2,10.4,2013-08-26
2.2,2.7,4.8,2013-08-22
3.3,4.9,8.1,2013-08-23
8.4,14.6,23.0,2013-08-24
5.2,8.8,14.0,2013-08-27
