Green,Yellow,Minutes of Coverage,x
13.1,10.8,23.8,2013-04-20
7.9,2.7,10.6,2013-04-17
13.0,11.0,24.0,2013-04-16
20.2,8.4,28.7,2013-04-15
6.1,2.2,8.4,2013-04-18
13.3,15.0,28.3,2013-04-19
