Green,Yellow,Minutes of Coverage,x
3.1,2.3,5.4,2013-05-24
24.0,4.2,28.3,2013-05-20
1.0,2.6,3.5,2013-05-23
6.7,3.4,10.1,2013-05-22
2.5,1.6,4.1,2013-05-19
20.5,8.3,28.8,2013-05-21
