Green,Yellow,Minutes of Coverage,x
4.8,4.8,9.5,2017-09-25
22.0,8.0,30.0,2017-09-21
26.0,4.0,30.0,2017-09-24
3.6,2.1,5.7,2017-09-22
5.3,1.8,7.0,2017-09-20
3.6,1.5,5.1,2017-09-23
