Green,Yellow,Minutes of Coverage,x
11.0,7.1,18.0,2017-04-05
10.4,7.2,17.6,2017-04-08
4.3,3.7,8.0,2017-04-04
12.9,18.1,31.0,2017-04-06
7.5,13.2,20.7,2017-04-09
23.0,27.7,50.7,2017-04-07
